database_name,schema_name,table_name,table_type,table_description,ordinal_position,column_name,data_type,is_nullable,column_default,column_description
COMARCH,RM,CMT_ADDRESSES,BASE TABLE,The COMARCH.RM.CMT_ADDRESSES table contains detailed address information, including city, house number, street name, and contact details. Columns include timestamps for last update and audit, various text fields for address components, and floating point ID. Related tables include schema_tables.COMARCH.RM.CMT_ADDRESSES.,1,ADR_ID,FLOAT,YES,,
COMARCH,RM,CMT_ADDRESSES,BASE TABLE,The COMARCH.RM.CMT_ADDRESSES table contains detailed address information, including city, house number, street name, and contact details. Columns include timestamps for last update and audit, various text fields for address components, and floating point ID. Related tables include schema_tables.COMARCH.RM.CMT_ADDRESSES.,12,ADR_CITY,TEXT,YES,,
COMARCH,RM,CMT_ADDRESSES,BASE TABLE,The COMARCH.RM.CMT_ADDRESSES table contains detailed address information, including city, house number, street name, and contact details. Columns include timestamps for last update and audit, various text fields for address components, and floating point ID. Related tables include schema_tables.COMARCH.RM.CMT_ADDRESSES.,13,ADR_REGION_CODE,TEXT,YES,,
COMARCH,RM,CMT_ADDRESSES,BASE TABLE,The COMARCH.RM.CMT_ADDRESSES table contains detailed address information, including city, house number, street name, and contact details. Columns include timestamps for last update and audit, various text fields for address components, and floating point ID. Related tables include schema_tables.COMARCH.RM.CMT_ADDRESSES.,14,ADR_PHONE,TEXT,YES,,
COMARCH,RM,CMT_ADDRESSES,BASE TABLE,The COMARCH.RM.CMT_ADDRESSES table contains detailed address information, including city, house number, street name, and contact details. Columns include timestamps for last update and audit, various text fields for address components, and floating point ID. Related tables include schema_tables.COMARCH.RM.CMT_ADDRESSES.,15,ADR_MOBILE,TEXT,YES,,
COMARCH,RM,CMT_ADDRESSES,BASE TABLE,The COMARCH.RM.CMT_ADDRESSES table contains detailed address information, including city, house number, street name, and contact details. Columns include timestamps for last update and audit, various text fields for address components, and floating point ID. Related tables include schema_tables.COMARCH.RM.CMT_ADDRESSES.,16,ADR_FAX,TEXT,YES,,
COMARCH,RM,CMT_ADDRESSES,BASE TABLE,The COMARCH.RM.CMT_ADDRESSES table contains detailed address information, including city, house number, street name, and contact details. Columns include timestamps for last update and audit, various text fields for address components, and floating point ID. Related tables include schema_tables.COMARCH.RM.CMT_ADDRESSES.,17,ADR_ADDITIONAL_INFO,TEXT,YES,,
COMARCH,RM,CMT_ADDRESSES,BASE TABLE,The COMARCH.RM.CMT_ADDRESSES table contains detailed address information, including city, house number, street name, and contact details. Columns include timestamps for last update and audit, various text fields for address components, and floating point ID. Related tables include schema_tables.COMARCH.RM.CMT_ADDRESSES.,18,ADR_TYPE,TEXT,YES,,
COMARCH,RM,CMT_ADDRESSES,BASE TABLE,The COMARCH.RM.CMT_ADDRESSES table contains detailed address information, including city, house number, street name, and contact details. Columns include timestamps for last update and audit, various text fields for address components, and floating point ID. Related tables include schema_tables.COMARCH.RM.CMT_ADDRESSES.,19,ADR_LONGITUDE,NUMBER,YES,,
COMARCH,RM,CMT_ADDRESSES,BASE TABLE,The COMARCH.RM.CMT_ADDRESSES table contains detailed address information, including city, house number, street name, and contact details. Columns include timestamps for last update and audit, various text fields for address components, and floating point ID. Related tables include schema_tables.COMARCH.RM.CMT_ADDRESSES.,20,ADR_LATITUDE,NUMBER,YES,,
COMARCH,RM,CMT_ADDRESSES,BASE TABLE,The COMARCH.RM.CMT_ADDRESSES table contains detailed address information, including city, house number, street name, and contact details. Columns include timestamps for last update and audit, various text fields for address components, and floating point ID. Related tables include schema_tables.COMARCH.RM.CMT_ADDRESSES.,21,ADRX_NEIGHBOURHOOD,TEXT,YES,,
COMARCH,RM,CMT_ADDRESSES,BASE TABLE,The COMARCH.RM.CMT_ADDRESSES table contains detailed address information, including city, house number, street name, and contact details. Columns include timestamps for last update and audit, various text fields for address components, and floating point ID. Related tables include schema_tables.COMARCH.RM.CMT_ADDRESSES.,22,ADR_STREET_PREFIX,TEXT,YES,,
COMARCH,RM,CMT_ADDRESSES,BASE TABLE,The COMARCH.RM.CMT_ADDRESSES table contains detailed address information, including city, house number, street name, and contact details. Columns include timestamps for last update and audit, various text fields for address components, and floating point ID. Related tables include schema_tables.COMARCH.RM.CMT_ADDRESSES.,23,ADRX_STREET_PREFIX_ANSI,TEXT,YES,,
COMARCH,RM,CMT_ADDRESSES,BASE TABLE,The COMARCH.RM.CMT_ADDRESSES table contains detailed address information, including city, house number, street name, and contact details. Columns include timestamps for last update and audit, various text fields for address components, and floating point ID. Related tables include schema_tables.COMARCH.RM.CMT_ADDRESSES.,24,ADRX_STREET_ANSI,TEXT,YES,,
COMARCH,RM,CMT_ADDRESSES,BASE TABLE,The COMARCH.RM.CMT_ADDRESSES table contains detailed address information, including city, house number, street name, and contact details. Columns include timestamps for last update and audit, various text fields for address components, and floating point ID. Related tables include schema_tables.COMARCH.RM.CMT_ADDRESSES.,25,ADRX_NEIGHBOURHOOD_ANSI,TEXT,YES,,
COMARCH,RM,CMT_ADDRESSES,BASE TABLE,The COMARCH.RM.CMT_ADDRESSES table contains detailed address information, including city, house number, street name, and contact details. Columns include timestamps for last update and audit, various text fields for address components, and floating point ID. Related tables include schema_tables.COMARCH.RM.CMT_ADDRESSES.,26,ADRX_CITY_ANSI,TEXT,YES,,
COMARCH,RM,CMT_ADDRESSES,BASE TABLE,The COMARCH.RM.CMT_ADDRESSES table contains detailed address information, including city, house number, street name, and contact details. Columns include timestamps for last update and audit, various text fields for address components, and floating point ID. Related tables include schema_tables.COMARCH.RM.CMT_ADDRESSES.,27,DW_LAST_UPDATE,TIMESTAMP_NTZ,YES,,
COMARCH,RM,CMT_ADDRESSES,BASE TABLE,The COMARCH.RM.CMT_ADDRESSES table contains detailed address information, including city, house number, street name, and contact details. Columns include timestamps for last update and audit, various text fields for address components, and floating point ID. Related tables include schema_tables.COMARCH.RM.CMT_ADDRESSES.,28,DH_CARGA,TIMESTAMP_NTZ,YES,,
COMARCH,RM,CMT_DICTIONARIES,BASE TABLE,The COMARCH.RM.CMT_DICTIONARIES table stores dictionary data with associated audit information. Columns include DIC_ID, DIC_DESCRIPTION, and DIC_DOMAIN to identify and describe each dictionary entry. Timestamp columns capture creation and modification dates. No direct schema table relationships are evident from the provided information.,1,DIC_ID,NUMBER,YES,,
COMARCH,RM,CMT_DICTIONARIES,BASE TABLE,The COMARCH.RM.CMT_DICTIONARIES table stores dictionary data with associated audit information. Columns include DIC_ID, DIC_DESCRIPTION, and DIC_DOMAIN to identify and describe each dictionary entry. Timestamp columns capture creation and modification dates. No direct schema table relationships are evident from the provided information.,2,DIC_AUDIT_CD,TIMESTAMP_NTZ,YES,,
COMARCH,RM,CMT_DICTIONARIES,BASE TABLE,The COMARCH.RM.CMT_DICTIONARIES table stores dictionary data with associated audit information. Columns include DIC_ID, DIC_DESCRIPTION, and DIC_DOMAIN to identify and describe each dictionary entry. Timestamp columns capture creation and modification dates. No direct schema table relationships are evident from the provided information.,3,DIC_AUDIT_MD,TIMESTAMP_NTZ,YES,,
COMARCH,RM,CMT_DICTIONARIES,BASE TABLE,The COMARCH.RM.CMT_DICTIONARIES table stores dictionary data with associated audit information. Columns include DIC_ID, DIC_DESCRIPTION, and DIC_DOMAIN to identify and describe each dictionary entry. Timestamp columns capture creation and modification dates. No direct schema table relationships are evident from the provided information.,4,DIC_AUDIT_RD,TIMESTAMP_NTZ,YES,,
COMARCH,RM,CMT_DICTIONARIES,BASE TABLE,The COMARCH.RM.CMT_DICTIONARIES table stores dictionary data with associated audit information. Columns include DIC_ID, DIC_DESCRIPTION, and DIC_DOMAIN to identify and describe each dictionary entry. Timestamp columns capture creation and modification dates. No direct schema table relationships are evident from the provided information.,5,DIC_DOMAIN,TEXT,YES,,
COMARCH,RM,CMT_DICTIONARIES,BASE TABLE,The COMARCH.RM.CMT_DICTIONARIES table stores dictionary data with associated audit information. Columns include DIC_ID, DIC_DESCRIPTION, and DIC_DOMAIN to identify and describe each dictionary entry. Timestamp columns capture creation and modification dates. No direct schema table relationships are evident from the provided information.,6,DIC_AUDIT_RU,NUMBER,YES,,
COMARCH,RM,CMT_DICTIONARIES,BASE TABLE,The COMARCH.RM.CMT_DICTIONARIES table stores dictionary data with associated audit information. Columns include DIC_ID, DIC_DESCRIPTION, and DIC_DOMAIN to identify and describe each dictionary entry. Timestamp columns capture creation and modification dates. No direct schema table relationships are evident from the provided information.,7,DIC_AUDIT_CU,NUMBER,YES,,
COMARCH,RM,CMT_DICTIONARIES,BASE TABLE,The COMARCH.RM.CMT_DICTIONARIES table stores dictionary data with associated audit information. Columns include DIC_ID, DIC_DESCRIPTION, and DIC_DOMAIN to identify and describe each dictionary entry. Timestamp columns capture creation and modification dates. No direct schema table relationships are evident from the provided information.,8,DIC_AUDIT_MU,NUMBER,YES,,
COMARCH,RM,CMT_DICTIONARIES,BASE TABLE,The COMARCH.RM.CMT_DICTIONARIES table stores dictionary data with associated audit information. Columns include DIC_ID, DIC_DESCRIPTION, and DIC_DOMAIN to identify and describe each dictionary entry. Timestamp columns capture creation and modification dates. No direct schema table relationships are evident from the provided information.,9,DIC_TYPE,TEXT,YES,,
COMARCH,RM,CMT_DICTIONARIES,BASE TABLE,The COMARCH.RM.CMT_DICTIONARIES table stores dictionary data with associated audit information. Columns include DIC_ID, DIC_DESCRIPTION, and DIC_DOMAIN to identify and describe each dictionary entry. Timestamp columns capture creation and modification dates. No direct schema table relationships are evident from the provided information.,10,DIC_MAX_CODE_LENGTH,NUMBER,YES,,
COMARCH,RM,CMT_DICTIONARIES,BASE TABLE,The COMARCH.RM.CMT_DICTIONARIES table stores dictionary data with associated audit information. Columns include DIC_ID, DIC_DESCRIPTION, and DIC_DOMAIN to identify and describe each dictionary entry. Timestamp columns capture creation and modification dates. No direct schema table relationships are evident from the provided information.,11,DIC_DEFAULT_ITEM_VALUE,TEXT,YES,,
COMARCH,RM,CMT_DICTIONARIES,BASE TABLE,The COMARCH.RM.CMT_DICTIONARIES table stores dictionary data with associated audit information. Columns include DIC_ID, DIC_DESCRIPTION, and DIC_DOMAIN to identify and describe each dictionary entry. Timestamp columns capture creation and modification dates. No direct schema table relationships are evident from the provided information.,12,DIC_DESCRIPTION,TEXT,YES,,
COMARCH,RM,CMT_DICTIONARIES,BASE TABLE,The COMARCH.RM.CMT_DICTIONARIES table stores dictionary data with associated audit information. Columns include DIC_ID, DIC_DESCRIPTION, and DIC_DOMAIN to identify and describe each dictionary entry. Timestamp columns capture creation and modification dates. No direct schema table relationships are evident from the provided information.,13,DIC_PRG_ID,NUMBER,YES,,
COMARCH,RM,CMT_DICTIONARIES,BASE TABLE,The COMARCH.RM.CMT_DICTIONARIES table stores dictionary data with associated audit information. Columns include DIC_ID, DIC_DESCRIPTION, and DIC_DOMAIN to identify and describe each dictionary entry. Timestamp columns capture creation and modification dates. No direct schema table relationships are evident from the provided information.,14,DW_LAST_UPDATE,TIMESTAMP_NTZ,YES,,
COMARCH,RM,CMT_DICTIONARIES,BASE TABLE,The COMARCH.RM.CMT_DICTIONARIES table stores dictionary data with associated audit information. Columns include DIC_ID, DIC_DESCRIPTION, and DIC_DOMAIN to identify and describe each dictionary entry. Timestamp columns capture creation and modification dates. No direct schema table relationships are evident from the provided information.,15,DH_CARGA,TIMESTAMP_NTZ,YES,,
COMARCH,RM,CMT_DICTIONARY_ITEMS,BASE TABLE,The COMARCH.RM.CMT_DICTIONARY_ITEMS table contains dictionary item data with columns for audit timestamps, codes, IDs, names, descriptions, and program ID. Each row represents a dictionary item with associated audit information. The DIT_DIC_ID column likely refers to a dictionary ID in the COMARCH.RM.CMT_DICTIONARIES table.,1,DIT_ID,NUMBER,YES,,
COMARCH,RM,CMT_DICTIONARY_ITEMS,BASE TABLE,The COMARCH.RM.CMT_DICTIONARY_ITEMS table contains dictionary item data with columns for audit timestamps, codes, IDs, names, descriptions, and program ID. Each row represents a dictionary item with associated audit information. The DIT_DIC_ID column likely refers to a dictionary ID in the COMARCH.RM.CMT_DICTIONARIES table.,2,DIT_AUDIT_CD,TIMESTAMP_NTZ,YES,,
COMARCH,RM,CMT_DICTIONARY_ITEMS,BASE TABLE,The COMARCH.RM.CMT_DICTIONARY_ITEMS table contains dictionary item data with columns for audit timestamps, codes, IDs, names, descriptions, and program ID. Each row represents a dictionary item with associated audit information. The DIT_DIC_ID column likely refers to a dictionary ID in the COMARCH.RM.CMT_DICTIONARIES table.,3,DIT_AUDIT_MD,TIMESTAMP_NTZ,YES,,
COMARCH,RM,CMT_DICTIONARY_ITEMS,BASE TABLE,The COMARCH.RM.CMT_DICTIONARY_ITEMS table contains dictionary item data with columns for audit timestamps, codes, IDs, names, descriptions, and program ID. Each row represents a dictionary item with associated audit information. The DIT_DIC_ID column likely refers to a dictionary ID in the COMARCH.RM.CMT_DICTIONARIES table.,4,DIT_AUDIT_RD,TIMESTAMP_NTZ,YES,,
COMARCH,RM,CMT_DICTIONARY_ITEMS,BASE TABLE,The COMARCH.RM.CMT_DICTIONARY_ITEMS table contains dictionary item data with columns for audit timestamps, codes, IDs, names, descriptions, and program ID. Each row represents a dictionary item with associated audit information. The DIT_DIC_ID column likely refers to a dictionary ID in the COMARCH.RM.CMT_DICTIONARIES table.,5,DIT_AUDIT_RU,NUMBER,YES,,
COMARCH,RM,CMT_DICTIONARY_ITEMS,BASE TABLE,The COMARCH.RM.CMT_DICTIONARY_ITEMS table contains dictionary item data with columns for audit timestamps, codes, IDs, names, descriptions, and program ID. Each row represents a dictionary item with associated audit information. The DIT_DIC_ID column likely refers to a dictionary ID in the COMARCH.RM.CMT_DICTIONARIES table.,6,DIT_DIC_ID,NUMBER,YES,,
COMARCH,RM,CMT_DICTIONARY_ITEMS,BASE TABLE,The COMARCH.RM.CMT_DICTIONARY_ITEMS table contains dictionary item data with columns for audit timestamps, codes, IDs, names, descriptions, and program ID. Each row represents a dictionary item with associated audit information. The DIT_DIC_ID column likely refers to a dictionary ID in the COMARCH.RM.CMT_DICTIONARIES table.,7,DIT_CODE,TEXT,YES,,
COMARCH,RM,CMT_DICTIONARY_ITEMS,BASE TABLE,The COMARCH.RM.CMT_DICTIONARY_ITEMS table contains dictionary item data with columns for audit timestamps, codes, IDs, names, descriptions, and program ID. Each row represents a dictionary item with associated audit information. The DIT_DIC_ID column likely refers to a dictionary ID in the COMARCH.RM.CMT_DICTIONARIES table.,8,DIT_NAME,TEXT,YES,,
COMARCH,RM,CMT_DICTIONARY_ITEMS,BASE TABLE,The COMARCH.RM.CMT_DICTIONARY_ITEMS table contains dictionary item data with columns for audit timestamps, codes, IDs, names, descriptions, and program ID. Each row represents a dictionary item with associated audit information. The DIT_DIC_ID column likely refers to a dictionary ID in the COMARCH.RM.CMT_DICTIONARIES table.,9,DIT_ORDER,NUMBER,YES,,
COMARCH,RM,CMT_DICTIONARY_ITEMS,BASE TABLE,The COMARCH.RM.CMT_DICTIONARY_ITEMS table contains dictionary item data with columns for audit timestamps, codes, IDs, names, descriptions, and program ID. Each row represents a dictionary item with associated audit information. The DIT_DIC_ID column likely refers to a dictionary ID in the COMARCH.RM.CMT_DICTIONARIES table.,10,DIT_DESCRIPTION,TEXT,YES,,
COMARCH,RM,CMT_DICTIONARY_ITEMS,BASE TABLE,The COMARCH.RM.CMT_DICTIONARY_ITEMS table contains dictionary item data with columns for audit timestamps, codes, IDs, names, descriptions, and program ID. Each row represents a dictionary item with associated audit information. The DIT_DIC_ID column likely refers to a dictionary ID in the COMARCH.RM.CMT_DICTIONARIES table.,11,DIT_PRG_ID,NUMBER,YES,,
COMARCH,RM,CMT_DICTIONARY_ITEMS,BASE TABLE,The COMARCH.RM.CMT_DICTIONARY_ITEMS table contains dictionary item data with columns for audit timestamps, codes, IDs, names, descriptions, and program ID. Each row represents a dictionary item with associated audit information. The DIT_DIC_ID column likely refers to a dictionary ID in the COMARCH.RM.CMT_DICTIONARIES table.,12,DH_CARGA,TIMESTAMP_NTZ,YES,,
COMARCH,RM,CMT_USERS,BASE TABLE,The COMARCH.RM.CMT_USERS table contains user data with columns for various user attributes such as USR_ID, USR_FIRST_NAME, USR_LAST_NAME, USR_EMAIL, USR_PHONE, USR_STATUS, and USR_LAST_LOGIN_DATE. It also includes timestamps for user activity audits and manager information. No direct relationship with COMARCH.RM.CMT_ADDRESSES table is apparent from the provided information.,1,USR_ID,FLOAT,YES,,
COMARCH,RM,CMT_USERS,BASE TABLE,The COMARCH.RM.CMT_USERS table contains user data with columns for various user attributes such as USR_ID, USR_FIRST_NAME, USR_LAST_NAME, USR_EMAIL, USR_PHONE, USR_STATUS, and USR_LAST_LOGIN_DATE. It also includes timestamps for user activity audits and manager information. No direct relationship with COMARCH.RM.CMT_ADDRESSES table is apparent from the provided information.,2,USR_AUDIT_CD,TIMESTAMP_NTZ,YES,,
COMARCH,RM,CMT_USERS,BASE TABLE,The COMARCH.RM.CMT_USERS table contains user data with columns for various user attributes such as USR_ID, USR_FIRST_NAME, USR_LAST_NAME, USR_EMAIL, USR_PHONE, USR_STATUS, and USR_LAST_LOGIN_DATE. It also includes timestamps for user activity audits and manager information. No direct relationship with COMARCH.RM.CMT_ADDRESSES table is apparent from the provided information.,3,USR_AUDIT_MD,TIMESTAMP_NTZ,YES,,
COMARCH,RM,CMT_USERS,BASE TABLE,The COMARCH.RM.CMT_USERS table contains user data with columns for various user attributes such as USR_ID, USR_FIRST_NAME, USR_LAST_NAME, USR_EMAIL, USR_PHONE, USR_STATUS, and USR_LAST_LOGIN_DATE. It also includes timestamps for user activity audits and manager information. No direct relationship with COMARCH.RM.CMT_ADDRESSES table is apparent from the provided information.,4,USR_AUDIT_RD,TIMESTAMP_NTZ,YES,,
COMARCH,RM,CMT_USERS,BASE TABLE,The COMARCH.RM.CMT_USERS table contains user data with columns for various user attributes such as USR_ID, USR_FIRST_NAME, USR_LAST_NAME, USR_EMAIL, USR_PHONE, USR_STATUS, and USR_LAST_LOGIN_DATE. It also includes timestamps for user activity audits and manager information. No direct relationship with COMARCH.RM.CMT_ADDRESSES table is apparent from the provided information.,5,USR_FIRST_NAME,TEXT,YES,,
COMARCH,RM,CMT_USERS,BASE TABLE,The COMARCH.RM.CMT_USERS table contains user data with columns for various user attributes such as USR_ID, USR_FIRST_NAME, USR_LAST_NAME, USR_EMAIL, USR_PHONE, USR_STATUS, and USR_LAST_LOGIN_DATE. It also includes timestamps for user activity audits and manager information. No direct relationship with COMARCH.RM.CMT_ADDRESSES table is apparent from the provided information.,6,USR_LAST_NAME,TEXT,YES,,
COMARCH,RM,CMT_USERS,BASE TABLE,The COMARCH.RM.CMT_USERS table contains user data with columns for various user attributes such as USR_ID, USR_FIRST_NAME, USR_LAST_NAME, USR_EMAIL, USR_PHONE, USR_STATUS, and USR_LAST_LOGIN_DATE. It also includes timestamps for user activity audits and manager information. No direct relationship with COMARCH.RM.CMT_ADDRESSES table is apparent from the provided information.,7,USR_LOGIN,TEXT,YES,,
COMARCH,RM,CMT_USERS,BASE TABLE,The COMARCH.RM.CMT_USERS table contains user data with columns for various user attributes such as USR_ID, USR_FIRST_NAME, USR_LAST_NAME, USR_EMAIL, USR_PHONE, USR_STATUS, and USR_LAST_LOGIN_DATE. It also includes timestamps for user activity audits and manager information. No direct relationship with COMARCH.RM.CMT_ADDRESSES table is apparent from the provided information.,8,USR_MODULE,TEXT,YES,,
COMARCH,RM,CMT_USERS,BASE TABLE,The COMARCH.RM.CMT_USERS table contains user data with columns for various user attributes such as USR_ID, USR_FIRST_NAME, USR_LAST_NAME, USR_EMAIL, USR_PHONE, USR_STATUS, and USR_LAST_LOGIN_DATE. It also includes timestamps for user activity audits and manager information. No direct relationship with COMARCH.RM.CMT_ADDRESSES table is apparent from the provided information.,9,USR_CORPORATE,TEXT,YES,,
COMARCH,RM,CMT_USERS,BASE TABLE,The COMARCH.RM.CMT_USERS table contains user data with columns for various user attributes such as USR_ID, USR_FIRST_NAME, USR_LAST_NAME, USR_EMAIL, USR_PHONE, USR_STATUS, and USR_LAST_LOGIN_DATE. It also includes timestamps for user activity audits and manager information. No direct relationship with COMARCH.RM.CMT_ADDRESSES table is apparent from the provided information.,10,USR_STATUS,TEXT,YES,,
COMARCH,RM,CMT_USERS,BASE TABLE,The COMARCH.RM.CMT_USERS table contains user data with columns for various user attributes such as USR_ID, USR_FIRST_NAME, USR_LAST_NAME, USR_EMAIL, USR_PHONE, USR_STATUS, and USR_LAST_LOGIN_DATE. It also includes timestamps for user activity audits and manager information. No direct relationship with COMARCH.RM.CMT_ADDRESSES table is apparent from the provided information.,11,USR_LAST_LOGIN_DATE,TIMESTAMP_NTZ,YES,,
COMARCH,RM,CMT_USERS,BASE TABLE,The COMARCH.RM.CMT_USERS table contains user data with columns for various user attributes such as USR_ID, USR_FIRST_NAME, USR_LAST_NAME, USR_EMAIL, USR_PHONE, USR_STATUS, and USR_LAST_LOGIN_DATE. It also includes timestamps for user activity audits and manager information. No direct relationship with COMARCH.RM.CMT_ADDRESSES table is apparent from the provided information.,12,USR_PWD_CHANGE_DATE,TIMESTAMP_NTZ,YES,,
COMARCH,RM,CMT_USERS,BASE TABLE,The COMARCH.RM.CMT_USERS table contains user data with columns for various user attributes such as USR_ID, USR_FIRST_NAME, USR_LAST_NAME, USR_EMAIL, USR_PHONE, USR_STATUS, and USR_LAST_LOGIN_DATE. It also includes timestamps for user activity audits and manager information. No direct relationship with COMARCH.RM.CMT_ADDRESSES table is apparent from the provided information.,13,USR_LNG_CODE,TEXT,YES,,
COMARCH,RM,CMT_USERS,BASE TABLE,The COMARCH.RM.CMT_USERS table contains user data with columns for various user attributes such as USR_ID, USR_FIRST_NAME, USR_LAST_NAME, USR_EMAIL, USR_PHONE, USR_STATUS, and USR_LAST_LOGIN_DATE. It also includes timestamps for user activity audits and manager information. No direct relationship with COMARCH.RM.CMT_ADDRESSES table is apparent from the provided information.,14,USR_EMAIL,TEXT,YES,,
COMARCH,RM,CMT_USERS,BASE TABLE,The COMARCH.RM.CMT_USERS table contains user data with columns for various user attributes such as USR_ID, USR_FIRST_NAME, USR_LAST_NAME, USR_EMAIL, USR_PHONE, USR_STATUS, and USR_LAST_LOGIN_DATE. It also includes timestamps for user activity audits and manager information. No direct relationship with COMARCH.RM.CMT_ADDRESSES table is apparent from the provided information.,15,USR_EMAIL_PERMISSION,TEXT,YES,,
COMARCH,RM,CMT_USERS,BASE TABLE,The COMARCH.RM.CMT_USERS table contains user data with columns for various user attributes such as USR_ID, USR_FIRST_NAME, USR_LAST_NAME, USR_EMAIL, USR_PHONE, USR_STATUS, and USR_LAST_LOGIN_DATE. It also includes timestamps for user activity audits and manager information. No direct relationship with COMARCH.RM.CMT_ADDRESSES table is apparent from the provided information.,16,USR_PHONE,TEXT,YES,,
COMARCH,RM,CMT_USERS,BASE TABLE,The COMARCH.RM.CMT_USERS table contains user data with columns for various user attributes such as USR_ID, USR_FIRST_NAME, USR_LAST_NAME, USR_EMAIL, USR_PHONE, USR_STATUS, and USR_LAST_LOGIN_DATE. It also includes timestamps for user activity audits and manager information. No direct relationship with COMARCH.RM.CMT_ADDRESSES table is apparent from the provided information.,17,USR_MOBILE,TEXT,YES,,
COMARCH,RM,CMT_USERS,BASE TABLE,The COMARCH.RM.CMT_USERS table contains user data with columns for various user attributes such as USR_ID, USR_FIRST_NAME, USR_LAST_NAME, USR_EMAIL, USR_PHONE, USR_STATUS, and USR_LAST_LOGIN_DATE. It also includes timestamps for user activity audits and manager information. No direct relationship with COMARCH.RM.CMT_ADDRESSES table is apparent from the provided information.,18,USR_PRT_ID,FLOAT,YES,,
COMARCH,RM,CMT_USERS,BASE TABLE,The COMARCH.RM.CMT_USERS table contains user data with columns for various user attributes such as USR_ID, USR_FIRST_NAME, USR_LAST_NAME, USR_EMAIL, USR_PHONE, USR_STATUS, and USR_LAST_LOGIN_DATE. It also includes timestamps for user activity audits and manager information. No direct relationship with COMARCH.RM.CMT_ADDRESSES table is apparent from the provided information.,19,USR_LOC_ID,FLOAT,YES,,
